Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from natural gas sources (% of total) [EG.ELC.NGAS.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],Electricity production from oil sources (% of total) [EG.ELC.PETR.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]","Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]","Population, total [SP.POP.TOTL]",GDP per capita (current US$) [NY.GDP.PCAP.CD]
2015,YR2015,Mexico,MEX,482947.567,10.8659180170857,3.51721073584162,9.90396544298671,59.8612191374888,3.72085698307503,10.1488728474182,80.8760100019927,5.49016834973549,121858258,9616.64500568952
2015,YR2015,"Micronesia, Fed. Sts.",FSM,143.013,..,..,..,..,..,..,..,..,108895,2906.37678497635
2015,YR2015,Moldova,MDA,4943.116,0,..,5.05664094565753,94.4836644229191,..,0.147758988671811,94.6314234115909,0.311935642751601,2834530,2732.45711293733
2015,YR2015,Monaco,MCO,..,..,..,..,..,..,..,..,..,37718,166011.50913116
2015,YR2015,Mongolia,MNG,23285.45,92.7444222746236,..,0,0,..,4.17195719209142,96.916379466715,3.08362053328496,2998439,3918.57917389553
2015,YR2015,Montenegro,MNE,2240.537,50.3496503496504,..,49.6503496503497,0,..,0,50.3496503496504,0,622159,6514.56918801822
2015,YR2015,Morocco,MAR,61271.903,55.525632706035,..,6.11615833874108,18.7670343932511,..,7.17391304347826,81.4665801427644,8.19273199221285,34663603,2875.25798516781
2015,YR2015,Mozambique,MOZ,6486.923,0,..,86.4108873600161,12.8257921960528,..,0.7633204439311,13.5891126399839,0,27042002,589.859028149831
2015,YR2015,Myanmar,MMR,22299.027,1.78459611772073,..,58.8541014402004,39.0169067000626,..,0.344395742016281,41.1458985597996,0,52680726,1287.43048657119
2015,YR2015,Namibia,NAM,3989.696,0.455729166666667,..,97.7864583333333,0,..,1.7578125,2.21354166666667,0,2314904,4869.37837276379
2015,YR2015,Nauru,NRU,47.671,..,..,..,..,..,..,..,..,12475,6956.25380055393
2015,YR2015,Nepal,NPL,6252.235,0,..,99.8001712817585,0,..,0,0,0.199828718241507,27015031,792.552890593381
2015,YR2015,Netherlands,NLD,172492.013,38.6535840828564,3.37380480632713,0.084491687108204,42.2794585263923,3.50867629690197,1.30008176614881,82.2331243753975,12.3575906241483,16939923,45175.2318933798
2015,YR2015,New Caledonia,NCL,4752.432,..,..,..,..,..,..,..,..,272400,..
2015,YR2015,New Zealand,NZL,34887.838,4.25291256645176,13.9876097391326,55.5027711797308,15.5344418052257,0,0.002262187535347,19.7896165592128,24.5786675715417,4595700,38615.9951849093
2015,YR2015,Nicaragua,NIC,5331.818,0,..,6.44245468442892,0,..,49.9454029264031,49.9454029264031,43.6121423891679,6223240,2049.84968976149
2015,YR2015,Niger,NER,2027.851,41.6195856873823,..,0,0,..,57.6271186440678,99.2467043314501,0.753295668549906,20001663,484.238632609296
2015,YR2015,Nigeria,NGA,115928.538,0,..,18.1951250556864,81.8048749443136,..,0,81.8048749443136,0,181137448,2687.48014545225
2015,YR2015,North Macedonia,MKD,7099.312,58.3599008147361,..,33.0322352107687,3.24123273113709,..,2.46191994332271,64.0630534891959,2.90471130003542,2079328,4840.27312286783
2015,YR2015,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,55780,16690.5700968089
2015,YR2015,Norway,NOR,47212.625,0.104917941662845,31.3179314225439,95.8255165992691,1.80514445324551,0,0.020149803365712,1.93021219827407,1.88435402509693,5188607,74355.5158575643
2015,YR2015,Oman,OMN,65386.277,0,..,0,97.3655290310764,..,2.63447096892362,100,0,4267348,16028.6115221739
2015,YR2015,Pakistan,PAK,188542.472,0.137108631529573,..,30.6726441219184,25.7250069907361,..,37.2249934602791,63.0871090825448,0.757705595295009,199426964,1356.66775582649
2015,YR2015,Palau,PLW,223.687,..,..,..,..,..,..,..,..,17665,15876.4619303708
2015,YR2015,Panama,PAN,11129.345,6.91530691530691,..,60.7711732711733,0,..,27.7583527583528,34.6736596736597,4.55516705516705,3968487,13630.3079737945
2015,YR2015,Papua New Guinea,PNG,7480.68,..,..,..,..,..,..,..,..,8107775,2679.34558891149
2015,YR2015,Paraguay,PRY,6303.573,0,..,99.9982060849598,0,..,0.001793915040184,0.001793915040184,0,6688746,5406.70385708338
2015,YR2015,Peru,PER,52636.118,0.839360842262337,..,49.1409504466229,45.027046071584,..,1.40307972891754,47.2694866427639,3.58956291061325,30470734,6229.10169612596
2015,YR2015,Philippines,PHL,117120.313,44.5148216907527,..,10.5141179182896,22.9065802725298,..,7.14207709948673,74.5634790627692,14.8993484037713,102113212,3001.04037107616
2015,YR2015,Poland,POL,285659.3,80.9061646211232,1.14302403851018,1.1147552953919,3.88643126182754,0,1.28878368757644,86.0813795705271,12.687643375664,37986412,12578.4954734362
2015,YR2015,Portugal,PRT,49258.811,28.7182387238938,8.04425464477711,16.8873461905969,20.5963222246056,0,2.55845244827519,51.8730133967746,30.6390281000761,10358076,19242.3664710981
2015,YR2015,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,3473232,29763.4883013861
2015,YR2015,Qatar,QAT,106841.712,0,..,0,100,..,0,100,0,2565710,63039.063486422
2015,YR2015,Romania,ROU,71715.519,27.6387245532599,..,25.2313340007888,14.238038894451,..,0.719031582779649,42.5957950304906,14.5156396953976,19815616,8969.14892146193
2015,YR2015,Russian Federation,RUS,1698213.369,14.8216583163089,..,15.764768590768,49.7126094312904,..,0.946957789011686,65.481225536611,0.091026563803522,144096870,9313.01362484996
2015,YR2015,Rwanda,RWA,960.754,..,..,..,..,..,..,..,..,11369071,751.639369748452
2015,YR2015,Samoa,WSM,234.688,..,..,..,..,..,..,..,..,193513,4073.66600980642
2015,YR2015,San Marino,SMR,..,..,..,..,..,..,..,..,..,33272,42660.3381585202
2015,YR2015,Sao Tome and Principe,STP,113.677,..,..,..,..,..,..,..,..,199432,1584.82776026425
2015,YR2015,Saudi Arabia,SAU,647111.823,0,..,0,55.8036980989312,..,20.4063416248936,76.2100397238248,0.000295564172893,31717667,20627.9327823422
2015,YR2015,Senegal,SEN,10637.967,0,..,8.64728192161821,4.17193426042984,..,83.6156763590392,87.787610619469,1.76991150442478,14578459,1219.24866243037
2015,YR2015,Serbia,SRB,43919.659,72.4298443942014,..,26.812076073946,0.579864343662721,..,0.074477989094295,73.0841867269584,0.093097486367868,7095383,5588.98072768556
2015,YR2015,Seychelles,SYC,491.378,..,..,..,..,..,..,..,..,93419,14745.3414620288
2015,YR2015,Sierra Leone,SLE,1067.097,..,..,..,..,..,..,..,..,7171914,588.228452702849
2015,YR2015,Singapore,SGP,61451.586,1.19607259744124,..,0,95.0292571655261,..,0.698204899335515,96.9235346623029,1.82088664088069,5535002,55646.6187469505
2015,YR2015,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,38825,32274.8905524359
2015,YR2015,Slovak Republic,SVK,31283.177,12.5112646440372,27.4677924020321,14.5163712826675,6.02282967858216,56.8714328627215,1.4418744367678,19.9759687593872,8.16311204565936,5423801,16310.9884090005
2015,YR2015,Slovenia,SVN,12530.139,29.5943848282378,28.2258477362562,25.7002092191402,2.72659782682054,38.118377539313,0.114733076871161,32.4357157319295,3.69170547344267,2063531,20881.7669299329
2015,YR2015,Solomon Islands,SLB,190.684,..,..,..,..,..,..,..,..,603118,2167.17382619953
2015,YR2015,Somalia,SOM,630.724,..,..,..,..,..,..,..,..,13797201,..
2015,YR2015,South Africa,ZAF,463952.507,92.7112379223137,..,0.324638479994812,0,..,0.074168341871474,92.7854062641852,1.93040334608651,55386367,5734.63362915331
2015,YR2015,South Sudan,SSD,1943.51,0,..,0,0,..,99.3939393939394,99.3939393939394,0.606060606060606,10715658,1119.65133267823
