Time,Time Code,Country Name,Country Code,Individuals using the Internet (% of population) [IT.NET.USER.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],GDP per capita (current US$) [NY.GDP.PCAP.CD]
2016,YR2016,Timor-Leste,TLS,25.2462,122.377,1353.74792501854
2016,YR2016,Togo,TGO,11.31,73.3084,597.471088804109
2016,YR2016,Tonga,TON,39.95,79.1038,4158.28837838716
2016,YR2016,Trinidad and Tobago,TTO,73.2969,157.223,16176.9473700573
2016,YR2016,Tunisia,TUN,49.6,126.346,3697.93083126064
2016,YR2016,Turkey,TUR,58.3477,94.0294,10895.3186924719
2016,YR2016,Turkmenistan,TKM,17.9903,151.438,6389.54840833488
2016,YR2016,Turks and Caicos Islands,TCA,..,..,28240.7068027025
2016,YR2016,Tuvalu,TUV,46.0092,67.706,3255.92869342584
2016,YR2016,Uganda,UGA,21.8762,57.6014,733.431251236802
2016,YR2016,Ukraine,UKR,53,135.196,2187.73050991433
2016,YR2016,United Arab Emirates,ARE,90.6,212.639,38141.8467585492
2016,YR2016,United Kingdom,GBR,94.7758,119.056,41064.1334316223
2016,YR2016,United States,USA,85.5444,122.558,57951.5840820997
2016,YR2016,Uruguay,URY,66.4,149.432,15387.14403013
2016,YR2016,Uzbekistan,UZB,46.7913,73.9952,2567.79920656883
2016,YR2016,Vanuatu,VUT,24,78.5409,2889.85303623403
2016,YR2016,"Venezuela, RB",VEN,60,92.4614,..
2016,YR2016,Vietnam,VNM,53,128.791,2192.21453866566
2016,YR2016,Virgin Islands (U.S.),VIR,59.6083,..,35931.5412519766
2016,YR2016,West Bank and Gaza,PSE,61.1784,80.1007,3527.61382413178
2016,YR2016,"Yemen, Rep.",YEM,24.5792,60.4863,1138.68299471073
2016,YR2016,Zambia,ZMB,25.5066,73.4382,1280.57844679257
2016,YR2016,Zimbabwe,ZWE,23.12,91.7935,1464.58352903946
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/16/2020,,,,,,
